year,dem,rep,region,state
1976,44058,71555,Mountain West,AK
1980,41842,86112,Mountain West,AK
1984,62007,138377,Mountain West,AK
1988,72584,119251,Mountain West,AK
1992,78294,102000,Mountain West,AK
1996,80380,122746,Mountain West,AK
2000,79004,167398,Mountain West,AK
2004,111025,190889,Mountain West,AK
2008,123594,193841,Mountain West,AK
2012,122640,164676,Mountain West,AK
2016,116454,163387,Mountain West,AK
1976,659170,504070,Deep South,AL
1980,636730,654192,Deep South,AL
1984,551899,872849,Deep South,AL
1988,549506,815576,Deep South,AL
1992,690080,804283,Deep South,AL
1996,662165,769044,Deep South,AL
2000,695602,944409,Deep South,AL
2004,693933,1176394,Deep South,AL
2008,813479,1266546,Deep South,AL
2012,795696,1255925,Deep South,AL
2016,729547,1318255,Deep South,AL
1976,499614,268753,Deep South,AR
1980,398041,403164,Deep South,AR
1984,338646,534774,Deep South,AR
1988,349237,466578,Deep South,AR
1992,505823,337324,Deep South,AR
1996,475171,325416,Deep South,AR
2000,422768,472940,Deep South,AR
2004,469953,572898,Deep South,AR
2008,422310,638017,Deep South,AR
2012,394409,647744,Deep South,AR
2016,380494,684872,Deep South,AR
1976,295602,418642,Southwest,AZ
1980,246843,529688,Southwest,AZ
1984,333854,681416,Southwest,AZ
1988,454029,702541,Southwest,AZ
1992,543050,572086,Southwest,AZ
1996,653288,622073,Southwest,AZ
2000,685341,781652,Southwest,AZ
2004,893524,1104294,Southwest,AZ
2008,1034707,1230111,Southwest,AZ
2012,1025232,1233654,Southwest,AZ
2016,1161167,1252401,Southwest,AZ
1976,3742284,3882244,West Coast,CA
1980,3083661,4524858,West Coast,CA
1984,3922519,5467009,West Coast,CA
1988,4702233,5054917,West Coast,CA
1992,5121325,3630574,West Coast,CA
1996,5119835,3828380,West Coast,CA
2000,5861203,4567429,West Coast,CA
2004,6745485,5509826,West Coast,CA
2008,8274473,5011781,West Coast,CA
2012,7854285,4839958,West Coast,CA
2016,8753788,4483810,West Coast,CA
1976,460353,584367,Southwest,CO
1980,367973,652264,Southwest,CO
1984,454974,821818,Southwest,CO
1988,621453,728177,Southwest,CO
1992,629681,562850,Southwest,CO
1996,671152,691848,Southwest,CO
2000,738227,883745,Southwest,CO
2004,1001732,1101255,Southwest,CO
2008,1288633,1073629,Southwest,CO
2012,1323101,1185243,Southwest,CO
2016,1338870,1202484,Southwest,CO
1976,647895,719261,New England,CT
